sport,game,player,team,combo_type,side,line,price,actual,hit,margin
WNBA,IND@WSH,Aliyah Boston,IND,PR,Under,20.5,-108,24,False,3.5
WNBA,IND@WSH,Sonia Citron,WSH,PR,Over,18.5,-110,12,False,-6.5
WNBA,IND@WSH,Sonia Citron,WSH,PR,Under,18.5,-124,12,True,-6.5
WNBA,IND@WSH,Caitlin Clark,IND,PRA,Over,31.5,-114,27,False,-4.5
WNBA,IND@WSH,Caitlin Clark,IND,PRA,Under,31.5,-119,27,True,-4.5
WNBA,IND@WSH,Shakira Austin,WSH,PRA,Over,24.5,-124,23,False,-1.5
WNBA,IND@WSH,Shakira Austin,WSH,PRA,Under,24.5,-109,23,True,-1.5
WNBA,IND@WSH,Aliyah Boston,IND,PRA,Over,23.5,-110,27,True,3.5
WNBA,IND@WSH,Aliyah Boston,IND,PRA,Under,23.5,-123,27,False,3.5
WNBA,IND@WSH,Sonia Citron,WSH,PRA,Over,22.5,-110,17,False,-5.5
WNBA,IND@WSH,Sonia Citron,WSH,PRA,Under,22.5,-124,17,True,-5.5
