date,matchup,player,category,direction,line,proj,actual,edge,result
2026-06-18,LV@PHX,Natasha Mack,bench,OVER,4.0,5.3,0.0,1.3,MISS
2026-06-18,LV@PHX,Lexi Held,bench,OVER,4.0,5.2,7.0,1.2,HIT
2026-06-18,LV@PHX,Kyara Linskens,bench,OVER,3.0,4.5,3.0,1.5,MISS
2026-06-18,LV@PHX,Valeriane Ayayi,bench,OVER,3.0,4.3,0.0,1.3,MISS
2026-06-16,TOR@IND,Brittney Sykes,starters,OVER,7.0,8.3,11.0,1.3,HIT
2026-06-16,TOR@IND,Marina Mabrey,starters,OVER,7.0,8.3,18.0,1.3,HIT
2026-06-16,TOR@IND,Julie Allemand,starters,OVER,4.0,5.5,0.0,1.5,MISS
2026-06-16,TOR@IND,Kia Nurse,starters,OVER,5.0,6.7,10.0,1.7,HIT
2026-06-16,TOR@IND,Laura Juskaite,starters,OVER,5.0,6.7,19.0,1.7,HIT
2026-06-16,TOR@IND,Maria Conde,bench,OVER,5.0,6.1,12.0,1.1,HIT
2026-06-16,TOR@IND,Isabelle Harrison,bench,OVER,5.0,6.4,11.0,1.4,HIT
2026-06-16,TOR@IND,Temi Fagbenle,bench,OVER,4.0,5.2,3.0,1.2,MISS
2026-06-16,TOR@IND,Teonni Key,bench,OVER,3.0,4.1,2.0,1.1,MISS
2026-06-16,TOR@IND,Tima Pouye,bench,OVER,3.0,4.0,5.0,1.0,HIT
2026-06-16,TOR@IND,Caitlin Clark,starters,OVER,9.0,10.7,21.0,1.7,HIT
2026-06-16,TOR@IND,Aliyah Boston,starters,OVER,8.0,9.1,18.0,1.1,HIT
2026-06-16,TOR@IND,Kelsey Mitchell,starters,OVER,8.0,10.2,27.0,2.2,HIT
2026-06-16,TOR@IND,Sophie Cunningham,starters,OVER,5.0,6.4,24.0,1.4,HIT
2026-06-16,TOR@IND,Lexie Hull,starters,OVER,4.0,5.5,6.0,1.5,HIT
2026-06-16,TOR@IND,Monique Billings,bench,OVER,5.0,5.8,5.0,0.8,MISS
