actual,date,direction,edge,league,market_line,matched_date,matched_player,matchup,picks_date,player,raw_average,result,role,source,stat,status,tc_projection,tc_target,team,threshold,threshold_used
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,LV@LA,2026-06-03,Chelsea Gray,1.1,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.9,0,LV,0.8,
NO_ACTUAL,2026-06-03,OVER,1,WNBA,,,,LV@LA,2026-06-03,Chelsea Gray,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,LV,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,LV@LA,2026-06-03,Chennedy Carter,0.9,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.8,0,LV,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,LV@LA,2026-06-03,Brianna Turner,1.1,NO_ACTUAL,BENCH,live_roster_api,BLK,ACTIVE,0.9,0,LV,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,LV@LA,2026-06-03,Cheyenne Parker-Tyus,0.9,NO_ACTUAL,BENCH,live_roster_api,BLK,ACTIVE,0.8,0,LV,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,LV@LA,2026-06-03,Dana Evans,0.9,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.8,0,LV,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,LV@LA,2026-06-03,Kelsey Plum,2.1,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1.8,1,LA,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,LV@LA,2026-06-03,Kelsey Plum,0.9,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.8,0,LA,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,LV@LA,2026-06-03,Dearica Hamby,1.1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,LA,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,LV@LA,2026-06-03,Erica Wheeler,0.9,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.8,0,LA,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,LV@LA,2026-06-03,Erica Wheeler,1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,LA,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,LV@LA,2026-06-03,Kate Martin,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,LA,0.8,
NO_ACTUAL,2026-06-03,OVER,1,WNBA,,,,CON@ATL,2026-06-03,Brittney Griner,2.4,NO_ACTUAL,START,live_roster_api,BLK,ACTIVE,2,1,CON,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,CON@ATL,2026-06-03,Leila Lacan,2.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1.9,1,CON,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,CON@ATL,2026-06-03,Saniya Rivers,0.9,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.8,0,CON,0.8,
NO_ACTUAL,2026-06-03,OVER,1,WNBA,,,,CON@ATL,2026-06-03,Allisha Gray,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,ATL,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,CON@ATL,2026-06-03,Brionna Jones,1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,ATL,0.8,
NO_ACTUAL,2026-06-03,OVER,1.1,WNBA,,,,CON@ATL,2026-06-03,Amy Okonkwo,1.3,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,1.1,0,ATL,0.8,
NO_ACTUAL,2026-06-03,OVER,1,WNBA,,,,CON@ATL,2026-06-03,Te-Hina Paopao,1.2,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,1,0,ATL,0.8,
NO_ACTUAL,2026-06-03,OVER,1.1,WNBA,,,,CHI@WSH,2026-06-03,Skylar Diggins,1.3,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1.1,0,CHI,0.8,
NO_ACTUAL,2026-06-03,OVER,1.1,WNBA,,,,CHI@WSH,2026-06-03,Skylar Diggins,1.3,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1.1,0,CHI,0.8,
