date,league,matchup,team,player,role,stat,season_avg,minutes_proj,tc_projection,market_line,edge,side
2026-06-02,WNBA,CON @ ATL,CON,Hailey Van Lith,START,AST,2.2,22,2.75,2.1,0.65,OVER
2026-06-02,WNBA,CON @ ATL,CON,Olivia Nelson-Ododa,START,PTS,5.8,22,7.64,5.5,2.14,OVER
2026-06-02,WNBA,CON @ ATL,CON,Olivia Nelson-Ododa,START,REB,3.0,22,3.95,2.8,1.15,OVER
2026-06-02,WNBA,CON @ ATL,CON,Olivia Nelson-Ododa,START,AST,2.8,22,3.69,2.7,0.99,OVER
2026-06-02,WNBA,CHI @ WSH,WSH,Sonia Citron,START,PTS,17.7,22,11.69,16.8,-5.11,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Sonia Citron,START,REB,3.4,22,2.25,3.2,-0.95,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Sonia Citron,START,AST,2.9,22,1.92,2.8,-0.88,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Shakira Austin,START,PTS,17.1,22,12.93,16.2,-3.27,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Shakira Austin,START,REB,8.7,22,6.58,8.3,-1.72,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Shakira Austin,START,AST,2.9,22,2.19,2.8,-0.61,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Kiki Iriafen,START,PTS,15.0,22,11.83,14.2,-2.37,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Kiki Iriafen,START,REB,10.4,22,8.2,9.9,-1.7,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Alicia Florez Getino,BENCH,PTS,7.0,14,4.08,6.6,-2.52,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Alicia Florez Getino,BENCH,REB,3.0,14,1.75,2.8,-1.05,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Alicia Florez Getino,BENCH,AST,5.0,14,2.92,4.8,-1.88,UNDER
2026-06-02,WNBA,CHI @ WSH,WSH,Michaela Onyenwere,START,PTS,8.0,22,8.38,7.6,0.78,OVER
2026-06-02,WNBA,CHI @ WSH,WSH,Cassandre Prosper,START,PTS,3.9,22,4.45,3.7,0.75,OVER
2026-06-02,WNBA,CHI @ WSH,WSH,Cotie McMahon,START,PTS,5.4,22,7.52,5.1,2.42,OVER
2026-06-02,WNBA,CHI @ WSH,WSH,Cotie McMahon,START,REB,1.6,22,2.23,1.5,0.73,OVER
2026-06-02,WNBA,CHI @ WSH,WSH,Cotie McMahon,START,AST,1.2,22,1.67,1.1,0.57,OVER
2026-06-02,WNBA,CHI @ WSH,WSH,Lauren Betts,BENCH,PTS,5.1,14,5.33,4.8,0.53,OVER
2026-06-02,WNBA,CHI @ WSH,WSH,Angela Dugalic,BENCH,PTS,4.3,14,4.85,4.1,0.75,OVER
2026-06-02,WNBA,CHI @ WSH,WSH,Angela Dugalic,BENCH,REB,3.0,14,3.39,2.8,0.59,OVER
2026-06-02,WNBA,CHI @ WSH,CHI,Skylar Diggins,START,PTS,14.1,22,10.34,13.4,-3.06,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Skylar Diggins,START,REB,4.6,22,3.37,4.4,-1.03,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Skylar Diggins,START,AST,5.6,22,4.11,5.3,-1.19,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Rickea Jackson,START,PTS,18.0,22,13.42,17.1,-3.68,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Rickea Jackson,START,REB,4.8,22,3.58,4.6,-1.02,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Natasha Cloud,START,PTS,10.9,22,8.3,10.4,-2.1,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Natasha Cloud,START,REB,4.6,22,3.5,4.4,-0.9,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Natasha Cloud,START,AST,4.4,22,3.35,4.2,-0.85,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Gabriela Jaquez,START,PTS,11.5,22,8.94,10.9,-1.96,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Gabriela Jaquez,START,REB,5.3,22,4.12,5.0,-0.88,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Kamilla Cardoso,START,PTS,12.9,22,11.0,12.3,-1.3,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Kamilla Cardoso,START,REB,9.6,22,8.19,9.1,-0.91,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Jacy Sheldon,START,PTS,7.4,22,6.43,7.0,-0.57,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Elizabeth Williams,BENCH,PTS,4.4,14,3.56,4.2,-0.64,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Elizabeth Williams,BENCH,REB,4.9,14,3.97,4.7,-0.73,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Rachel Banham,BENCH,PTS,5.6,14,4.72,5.3,-0.58,UNDER
2026-06-02,WNBA,CHI @ WSH,CHI,Azura Stevens,START,PTS,6.7,22,9.04,6.4,2.64,OVER
2026-06-02,WNBA,CHI @ WSH,CHI,Azura Stevens,START,REB,1.3,22,1.75,1.2,0.55,OVER
2026-06-02,WNBA,CHI @ WSH,CHI,Azura Stevens,START,AST,2.0,22,2.7,1.9,0.8,OVER
2026-06-02,WNBA,CHI @ WSH,CHI,Sydney Taylor,BENCH,PTS,9.2,14,9.33,8.7,0.63,OVER
2026-06-02,WNBA,POR @ GS,GS,Veronica Burton,START,PTS,14.8,22,11.38,14.1,-2.72,UNDER
2026-06-02,WNBA,POR @ GS,GS,Veronica Burton,START,REB,3.3,22,2.54,3.1,-0.56,UNDER
2026-06-02,WNBA,POR @ GS,GS,Veronica Burton,START,AST,5.8,22,4.46,5.5,-1.04,UNDER
2026-06-02,WNBA,POR @ GS,GS,Kayla Thornton,START,PTS,8.8,22,7.47,8.4,-0.93,UNDER
2026-06-02,WNBA,POR @ GS,GS,Kayla Thornton,START,REB,4.9,22,4.16,4.7,-0.54,UNDER
2026-06-02,WNBA,POR @ GS,GS,Gabby Williams,START,PTS,15.0,22,12.99,14.2,-1.21,UNDER
2026-06-02,WNBA,POR @ GS,GS,Janelle Salaun,BENCH,PTS,13.4,14,7.95,12.7,-4.75,UNDER
2026-06-02,WNBA,POR @ GS,GS,Janelle Salaun,BENCH,REB,3.6,14,2.14,3.4,-1.26,UNDER
2026-06-02,WNBA,POR @ GS,GS,Janelle Salaun,BENCH,3PM,2.4,14,1.42,2.3,-0.88,UNDER
2026-06-02,WNBA,POR @ GS,GS,Cecilia Zandalasini,START,PTS,7.8,22,12.43,7.4,5.03,OVER
2026-06-02,WNBA,POR @ GS,GS,Cecilia Zandalasini,START,REB,1.8,22,2.87,1.7,1.17,OVER
2026-06-02,WNBA,POR @ GS,GS,Cecilia Zandalasini,START,AST,1.5,22,2.39,1.4,0.99,OVER
2026-06-02,WNBA,POR @ GS,GS,Cecilia Zandalasini,START,3PM,1.8,22,2.87,1.7,1.17,OVER
2026-06-02,WNBA,POR @ GS,GS,Tiffany Hayes,START,PTS,7.2,22,11.73,6.8,4.93,OVER
2026-06-02,WNBA,POR @ GS,GS,Tiffany Hayes,START,REB,1.0,22,1.63,0.9,0.73,OVER
2026-06-02,WNBA,POR @ GS,GS,Tiffany Hayes,START,AST,1.5,22,2.44,1.4,1.04,OVER
2026-06-02,WNBA,POR @ GS,GS,Juste Jocyte,BENCH,PTS,4.3,14,6.92,4.1,2.82,OVER
2026-06-02,WNBA,POR @ GS,GS,Juste Jocyte,BENCH,AST,1.7,14,2.74,1.6,1.14,OVER
2026-06-02,WNBA,POR @ GS,GS,Juste Jocyte,BENCH,3PM,1.0,14,1.61,0.9,0.71,OVER
2026-06-02,WNBA,POR @ GS,GS,Ashten Prechtel,BENCH,PTS,5.0,14,14.0,4.8,9.2,OVER
2026-06-02,WNBA,POR @ GS,GS,Ashten Prechtel,BENCH,REB,1.0,14,2.8,0.9,1.9,OVER
2026-06-02,WNBA,POR @ GS,GS,Ashten Prechtel,BENCH,3PM,1.0,14,2.8,0.9,1.9,OVER
2026-06-02,WNBA,POR @ GS,POR,Bridget Carleton,START,PTS,15.1,22,11.22,14.3,-3.08,UNDER
2026-06-02,WNBA,POR @ GS,POR,Bridget Carleton,START,REB,3.2,22,2.38,3.0,-0.62,UNDER
2026-06-02,WNBA,POR @ GS,POR,Bridget Carleton,START,3PM,2.6,22,1.93,2.5,-0.57,UNDER
2026-06-02,WNBA,POR @ GS,POR,Sarah Ashlee Barker,BENCH,PTS,10.2,14,6.64,9.7,-3.06,UNDER
2026-06-02,WNBA,POR @ GS,POR,Sarah Ashlee Barker,BENCH,REB,4.6,14,3.0,4.4,-1.4,UNDER
2026-06-02,WNBA,POR @ GS,POR,Sarah Ashlee Barker,BENCH,AST,1.8,14,1.17,1.7,-0.53,UNDER
2026-06-02,WNBA,POR @ GS,POR,Nyadiew Puoch,START,PTS,4.4,22,4.7,4.2,0.5,OVER
2026-06-02,WNBA,POR @ GS,POR,Megan Gustafson,START,PTS,10.4,22,13.38,9.9,3.48,OVER
