2026-06-16,MLB,KC@WSH,WSH,James Wood,,ACTIVE,hits,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,James Wood,,ACTIVE,singles,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Salvador Perez,,ACTIVE,total_bases,UNDER,1.5,0.6,,-0.9,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,CJ Abrams,,ACTIVE,total_bases,OVER,1.5,2.3,,0.8,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Maikel Garcia,,ACTIVE,hits,UNDER,1.5,0.8,,-0.7,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Carter Jensen,,ACTIVE,hits,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Carter Jensen,,ACTIVE,singles,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Maikel Garcia,,ACTIVE,singles,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Isaac Collins,,ACTIVE,hits,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Isaac Collins,,ACTIVE,singles,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Lane Thomas,,ACTIVE,walks,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Salvador Perez,,ACTIVE,walks,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Jacob Young,,ACTIVE,hits,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Jacob Young,,ACTIVE,rbi,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Jacob Young,,ACTIVE,singles,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Jacob Young,,ACTIVE,walks,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Luis Garcia Jr.,,ACTIVE,total_bases,OVER,1.5,1.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Daylen Lile,,ACTIVE,hits,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Daylen Lile,,ACTIVE,singles,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,CJ Abrams,,ACTIVE,hits,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,CJ Abrams,,ACTIVE,rbi,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,CJ Abrams,,ACTIVE,singles,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,James Wood,,ACTIVE,walks,OVER,0.5,0.8,,0.3,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Maikel Garcia,,ACTIVE,total_bases,OVER,1.5,1.7,,0.2,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Bobby Witt Jr.,,ACTIVE,total_bases,OVER,1.5,1.7,,0.2,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Luis Garcia Jr.,,ACTIVE,hits,OVER,1.5,1.7,,0.2,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,James Wood,,ACTIVE,total_bases,OVER,1.5,1.7,,0.2,,,,,PENDING
