date,matchup,home_team,away_team,h2h_home_win_prob,h2h_draw_prob,h2h_away_win_prob,h2h_tc_signal,h2h_dk_home,h2h_dk_draw,h2h_dk_away,totals_tc_expected,totals_tc_over_prob,totals_tc_signal,totals_bm_over,totals_bm_under,totals_bm_line,btts_tc_prob,btts_tc_signal,btts_dk_yes,btts_dk_no
2026-06-15,Egypt@New Zealand,New Zealand,Egypt,0.279,0.07,0.651,AWAY,360,290,-130,1.79,0.298,UNDER,115,-160,2.5,0.326,NO,110,-140
2026-06-15,Austria@Argentina,Argentina,Austria,0.69,0.136,0.174,HOME,-160,290,475,3.11,0.635,OVER,-110,-130,2.5,0.604,YES,-110,-115
2026-06-15,Iraq@France,France,Iraq,0.888,0.03,0.082,HOME,-900,850,2500,2.49,0.497,PASS,115,-165,3.5,0.395,NO,190,-245
2026-06-15,Senegal@Norway,Norway,Senegal,0.413,0.145,0.442,PASS,115,260,240,2.53,0.508,PASS,-110,-130,2.5,0.515,PASS,-130,105
2026-06-15,Algeria@Jordan,Jordan,Algeria,0.716,0.117,0.167,HOME,600,340,-200,2.38,0.47,PASS,-115,-120,2.5,0.458,NO,110,-140
2026-06-15,Uzbekistan@Portugal,Portugal,Uzbekistan,0.87,0.036,0.094,HOME,-425,550,1100,2.36,0.463,PASS,-185,130,2.5,0.381,NO,115,-145
2026-06-15,Ghana@England,England,Ghana,0.79,0.073,0.137,HOME,-310,450,850,2.79,0.568,OVER,-150,110,2.5,0.521,PASS,115,-145
2026-06-15,Croatia@Panama,Panama,Croatia,0.274,0.068,0.658,AWAY,600,300,-185,2.38,0.47,PASS,-102,-135,2.5,0.469,NO,110,-135
2026-06-15,DR Congo@Colombia,Colombia,DR Congo,0.75,0.095,0.155,HOME,-220,340,700,2.51,0.504,PASS,110,-155,2.5,0.478,PASS,140,-180
2026-06-15,Qatar@Bosnia & Herzegovina,Bosnia & Herzegovina,Qatar,0.798,0.068,0.133,HOME,-175,310,500,2.16,0.407,UNDER,-105,-130,2.5,0.378,NO,105,-135
2026-06-15,Canada@Switzerland,Switzerland,Canada,0.736,0.104,0.16,HOME,115,245,250,2.39,0.471,PASS,105,-145,2.5,0.454,NO,-115,-110
2026-06-15,Brazil@Scotland,Scotland,Brazil,0.269,0.066,0.665,AWAY,550,400,-225,2.81,0.573,OVER,-130,-110,2.5,0.557,YES,110,-140
2026-06-15,Haiti@Morocco,Morocco,Haiti,0.875,0.034,0.09,HOME,-340,475,950,2.14,0.403,UNDER,-160,115,2.5,0.32,NO,110,-140
2026-06-15,Mexico@Czech Republic,Czech Republic,Mexico,0.383,0.125,0.492,AWAY,370,265,-125,2.51,0.504,PASS,110,-150,2.5,0.51,PASS,-105,-120
2026-06-15,South Korea@South Africa,South Africa,South Korea,0.372,0.117,0.511,AWAY,475,310,-165,2.37,0.468,PASS,-102,-135,2.5,0.48,PASS,100,-130
2026-06-15,Ivory Coast@Curaçao,Curaçao,Ivory Coast,0.254,0.061,0.685,AWAY,1800,800,-700,1.69,0.267,UNDER,115,-160,3.5,0.291,NO,160,-205
2026-06-15,Germany@Ecuador,Ecuador,Germany,0.419,0.149,0.431,PASS,380,285,-135,2.93,0.6,OVER,-118,-118,2.5,0.592,YES,-120,-105
2026-06-15,Sweden@Japan,Japan,Sweden,0.622,0.195,0.182,HOME,110,245,255,2.68,0.544,PASS,100,-140,2.5,0.536,YES,-120,-105
2026-06-15,Netherlands@Tunisia,Tunisia,Netherlands,0.372,0.117,0.511,AWAY,850,450,-310,2.76,0.562,OVER,-150,110,2.5,0.558,YES,110,-140
2026-06-15,Australia@Paraguay,Paraguay,Australia,0.401,0.136,0.462,AWAY,115,235,255,2.23,0.428,UNDER,125,-175,2.5,0.45,NO,-105,-120
2026-06-15,USA@Turkey,Turkey,USA,0.413,0.145,0.442,PASS,175,270,145,2.56,0.515,PASS,-125,-110,2.5,0.521,PASS,-150,120
2026-06-15,France@Norway,Norway,France,0.294,0.077,0.629,AWAY,320,275,-115,2.8,0.571,OVER,-110,-125,2.5,0.559,YES,-125,100
2026-06-15,Iraq@Senegal,Senegal,Iraq,0.825,0.055,0.12,HOME,-255,390,750,2.18,0.413,UNDER,-118,-118,2.5,0.369,NO,115,-145
2026-06-15,Saudi Arabia@Cape Verde,Cape Verde,Saudi Arabia,0.794,0.07,0.135,HOME,150,265,175,2.17,0.411,UNDER,115,-160,2.5,0.383,NO,-110,-115
2026-06-15,Spain@Uruguay,Uruguay,Spain,0.494,0.214,0.293,PASS,500,340,-190,3.17,0.646,OVER,,,2.5,0.631,YES,-105,-120
2026-06-15,Belgium@New Zealand,New Zealand,Belgium,0.179,0.035,0.786,AWAY,900,475,-340,2.08,0.386,UNDER,,,2.5,0.365,NO,120,-150
2026-06-15,Iran@Egypt,Egypt,Iran,0.519,0.241,0.24,HOME,120,210,275,2.54,0.51,PASS,,,2.5,0.516,PASS,110,-140
2026-06-15,Ghana@Croatia,Croatia,Ghana,0.746,0.098,0.156,HOME,-160,295,475,2.64,0.534,PASS,,,2.5,0.504,PASS,100,-130
2026-06-15,England@Panama,Panama,England,0.227,0.051,0.722,AWAY,800,600,-370,2.51,0.502,PASS,,,2.5,0.487,PASS,120,-155
2026-06-15,Portugal@Colombia,Colombia,Portugal,0.494,0.214,0.293,PASS,255,245,110,3.08,0.63,OVER,,,2.5,0.617,YES,-120,-105
2026-06-15,Uzbekistan@DR Congo,DR Congo,Uzbekistan,0.685,0.14,0.175,HOME,135,235,215,1.69,0.266,UNDER,,,2.5,0.303,NO,-110,-115
2026-06-15,Austria@Algeria,Algeria,Austria,0.372,0.117,0.511,AWAY,280,210,120,2.32,0.453,PASS,,,2.5,0.468,NO,-135,105
2026-06-15,Argentina@Jordan,Jordan,Argentina,0.401,0.136,0.462,AWAY,1400,650,-550,3.05,0.624,OVER,,,2.5,0.612,YES,140,-175
