name,team,sport,stat,matchup,projection,line,edge,direction,reason,clean_name,augmented_projection,projection_delta,actual
RF  Jac Caglianone,Kansas City Royals,mlb,RBI,Kansas_City_Royals_at_Detroit_Tigers,0.32,9.0,-8.68,UNDER,Targeting RF  Jac Caglianone UNDER 9.0 RBI. Model projects 0.3 (8.68 edge). Recent trends and opponent weakness support this play.,Jac Caglianone,0.32,0.0,
2B  Marcus Semien,New York Mets,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.32,9.0,-8.68,UNDER,"Strong +EV opportunity: 2B  Marcus Semien is projected for 0.3 R vs a line of 9.0, giving a UNDER edge of 8.68. Based on recent form, opponent matchup, and game context.",Marcus Semien,0.32,0.0,
LF  Isaac Collins,Kansas City Royals,mlb,R,Kansas_City_Royals_at_Detroit_Tigers,0.33,9.0,-8.67,UNDER,Targeting LF  Isaac Collins UNDER 9.0 R. Model projects 0.3 (8.67 edge). Recent trends and opponent weakness support this play.,Isaac Collins,0.33,0.0,
CF  Lane Thomas,Kansas City Royals,mlb,RBI,Kansas_City_Royals_at_Detroit_Tigers,0.33,9.0,-8.67,UNDER,CF  Lane Thomas shows UNDER value at 9.0 RBI. TC projection: 0.3 — edge: 8.67. Strong conviction based on usage rate and defensive matchup.,Lane Thomas,0.33,0.0,
CF  A.J. Ewing,New York Mets,mlb,BB,Los_Angeles_Dodgers_at_New_York_Mets,0.33,9.0,-8.67,UNDER,"Strong +EV opportunity: CF  A.J. Ewing is projected for 0.3 BB vs a line of 9.0, giving a UNDER edge of 8.67. Based on recent form, opponent matchup, and game context.",A.J. Ewing,0.33,0.0,
C   Francisco Alvarez,New York Mets,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.33,9.0,-8.67,UNDER,C   Francisco Alvarez shows UNDER value at 9.0 RBI. TC projection: 0.3 — edge: 8.67. Strong conviction based on usage rate and defensive matchup.,Francisco Alvarez,0.33,0.0,
CF  Lane Thomas,Kansas City Royals,mlb,BB,Kansas_City_Royals_at_Detroit_Tigers,0.34,9.0,-8.66,UNDER,"Strong +EV opportunity: CF  Lane Thomas is projected for 0.3 BB vs a line of 9.0, giving a UNDER edge of 8.66. Based on recent form, opponent matchup, and game context.",Lane Thomas,0.34,0.0,
CF  A.J. Ewing,New York Mets,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.34,9.0,-8.66,UNDER,CF  A.J. Ewing shows UNDER value at 9.0 RBI. TC projection: 0.3 — edge: 8.66. Strong conviction based on usage rate and defensive matchup.,A.J. Ewing,0.34,0.0,
2B  Michael Massey,Kansas City Royals,mlb,R,Kansas_City_Royals_at_Detroit_Tigers,0.34,9.0,-8.66,UNDER,2B  Michael Massey shows UNDER value at 9.0 R. TC projection: 0.3 — edge: 8.66. Strong conviction based on usage rate and defensive matchup.,Michael Massey,0.34,0.0,
3B  Brett Baty,New York Mets,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.34,9.0,-8.66,UNDER,3B  Brett Baty shows UNDER value at 9.0 R. TC projection: 0.3 — edge: 8.66. Strong conviction based on usage rate and defensive matchup.,Brett Baty,0.34,0.0,
LF  Isaac Collins,Kansas City Royals,mlb,BB,Kansas_City_Royals_at_Detroit_Tigers,0.35,9.0,-8.65,UNDER,"Strong +EV opportunity: LF  Isaac Collins is projected for 0.3 BB vs a line of 9.0, giving a UNDER edge of 8.65. Based on recent form, opponent matchup, and game context.",Isaac Collins,0.35,0.0,
3B  Nick Loftin,Kansas City Royals,mlb,R,Kansas_City_Royals_at_Detroit_Tigers,0.35,9.0,-8.65,UNDER,3B  Nick Loftin shows UNDER value at 9.0 R. TC projection: 0.3 — edge: 8.65. Strong conviction based on usage rate and defensive matchup.,Nick Loftin,0.35,0.0,
SS  Francisco Lindor,New York Mets,mlb,BB,Los_Angeles_Dodgers_at_New_York_Mets,0.35,9.0,-8.65,UNDER,Targeting SS  Francisco Lindor UNDER 9.0 BB. Model projects 0.3 (8.65 edge). Recent trends and opponent weakness support this play.,Francisco Lindor,0.35,0.0,
RF  Carson Benge,New York Mets,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.35,9.0,-8.65,UNDER,"Strong +EV opportunity: RF  Carson Benge is projected for 0.3 RBI vs a line of 9.0, giving a UNDER edge of 8.65. Based on recent form, opponent matchup, and game context.",Carson Benge,0.35,0.0,
LF  Sam Antonacci,Chicago White Sox,mlb,H,Houston_Astros_at_Chicago_White_Sox,0.86,9.5,-8.64,UNDER,"Strong +EV opportunity: LF  Sam Antonacci is projected for 0.9 H vs a line of 9.5, giving a UNDER edge of 8.64. Based on recent form, opponent matchup, and game context.",Sam Antonacci,0.86,0.0,
1B  Vinnie Pasquantino,Kansas City Royals,mlb,R,Kansas_City_Royals_at_Detroit_Tigers,0.36,9.0,-8.64,UNDER,1B  Vinnie Pasquantino shows UNDER value at 9.0 R. TC projection: 0.4 — edge: 8.64. Strong conviction based on usage rate and defensive matchup.,Vinnie Pasquantino,0.36,0.0,
1B  Vinnie Pasquantino,Kansas City Royals,mlb,RBI,Kansas_City_Royals_at_Detroit_Tigers,0.36,9.0,-8.64,UNDER,Targeting 1B  Vinnie Pasquantino UNDER 9.0 RBI. Model projects 0.4 (8.64 edge). Recent trends and opponent weakness support this play.,Vinnie Pasquantino,0.36,0.0,
CF  A.J. Ewing,New York Mets,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.37,9.0,-8.63,UNDER,"Strong +EV opportunity: CF  A.J. Ewing is projected for 0.4 R vs a line of 9.0, giving a UNDER edge of 8.63. Based on recent form, opponent matchup, and game context.",A.J. Ewing,0.37,0.0,
DH  Salvador Perez,Kansas City Royals,mlb,RBI,Kansas_City_Royals_at_Detroit_Tigers,0.37,9.0,-8.63,UNDER,Targeting DH  Salvador Perez UNDER 9.0 RBI. Model projects 0.4 (8.63 edge). Recent trends and opponent weakness support this play.,Salvador Perez,0.37,0.0,
SS  Tyler Tolbert,Kansas City Royals,mlb,R,Kansas_City_Royals_at_Detroit_Tigers,0.37,9.0,-8.63,UNDER,"Strong +EV opportunity: SS  Tyler Tolbert is projected for 0.4 R vs a line of 9.0, giving a UNDER edge of 8.63. Based on recent form, opponent matchup, and game context.",Tyler Tolbert,0.37,0.0,
CF  Luis Robert Jr.,New York Mets,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.37,9.0,-8.63,UNDER,CF  Luis Robert Jr. shows UNDER value at 9.0 R. TC projection: 0.4 — edge: 8.63. Strong conviction based on usage rate and defensive matchup.,Luis Robert Jr.,0.37,0.0,
C   Carter Jensen,Kansas City Royals,mlb,R,Kansas_City_Royals_at_Detroit_Tigers,0.38,9.0,-8.62,UNDER,Targeting C   Carter Jensen UNDER 9.0 R. Model projects 0.4 (8.62 edge). Recent trends and opponent weakness support this play.,Carter Jensen,0.38,0.0,
3B  Max Muncy,Los Angeles Dodgers,mlb,BB,Los_Angeles_Dodgers_at_New_York_Mets,0.38,9.0,-8.62,UNDER,"Strong +EV opportunity: 3B  Max Muncy is projected for 0.4 BB vs a line of 9.0, giving a UNDER edge of 8.62. Based on recent form, opponent matchup, and game context.",Max Muncy,0.38,0.0,
2B  Chase Meidroth,Chicago White Sox,mlb,H,Houston_Astros_at_Chicago_White_Sox,0.89,9.5,-8.61,UNDER,2B  Chase Meidroth shows UNDER value at 9.5 H. TC projection: 0.9 — edge: 8.61. Strong conviction based on usage rate and defensive matchup.,Chase Meidroth,0.89,0.0,
C   Dalton Rushing,Los Angeles Dodgers,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.39,9.0,-8.61,UNDER,Targeting C   Dalton Rushing UNDER 9.0 R. Model projects 0.4 (8.61 edge). Recent trends and opponent weakness support this play.,Dalton Rushing,0.39,0.0,
RF  Jac Caglianone,Kansas City Royals,mlb,R,Kansas_City_Royals_at_Detroit_Tigers,0.4,9.0,-8.6,UNDER,Targeting RF  Jac Caglianone UNDER 9.0 R. Model projects 0.4 (8.60 edge). Recent trends and opponent weakness support this play.,Jac Caglianone,0.4,0.0,
1B  Vinnie Pasquantino,Kansas City Royals,mlb,BB,Kansas_City_Royals_at_Detroit_Tigers,0.4,9.0,-8.6,UNDER,Targeting 1B  Vinnie Pasquantino UNDER 9.0 BB. Model projects 0.4 (8.60 edge). Recent trends and opponent weakness support this play.,Vinnie Pasquantino,0.4,0.0,
C   Dalton Rushing,Los Angeles Dodgers,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.4,9.0,-8.6,UNDER,Targeting C   Dalton Rushing UNDER 9.0 RBI. Model projects 0.4 (8.60 edge). Recent trends and opponent weakness support this play.,Dalton Rushing,0.4,0.0,
CF  Luis Robert Jr.,New York Mets,mlb,BB,Los_Angeles_Dodgers_at_New_York_Mets,0.4,9.0,-8.6,UNDER,CF  Luis Robert Jr. shows UNDER value at 9.0 BB. TC projection: 0.4 — edge: 8.60. Strong conviction based on usage rate and defensive matchup.,Luis Robert Jr.,0.4,0.0,
SS  Tyler Tolbert,Kansas City Royals,mlb,H,Kansas_City_Royals_at_Detroit_Tigers,0.41,9.0,-8.59,UNDER,"Strong +EV opportunity: SS  Tyler Tolbert is projected for 0.4 H vs a line of 9.0, giving a UNDER edge of 8.59. Based on recent form, opponent matchup, and game context.",Tyler Tolbert,0.41,0.0,
LF  Alex Call,Los Angeles Dodgers,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.41,9.0,-8.59,UNDER,Targeting LF  Alex Call UNDER 9.0 H. Model projects 0.4 (8.59 edge). Recent trends and opponent weakness support this play.,Alex Call,0.41,0.0,
3B  Nick Loftin,Kansas City Royals,mlb,RBI,Kansas_City_Royals_at_Detroit_Tigers,0.41,9.0,-8.59,UNDER,"Strong +EV opportunity: 3B  Nick Loftin is projected for 0.4 RBI vs a line of 9.0, giving a UNDER edge of 8.59. Based on recent form, opponent matchup, and game context.",Nick Loftin,0.41,0.0,
1B  Freddie Freeman,Los Angeles Dodgers,mlb,BB,Los_Angeles_Dodgers_at_New_York_Mets,0.41,9.0,-8.59,UNDER,1B  Freddie Freeman shows UNDER value at 9.0 BB. TC projection: 0.4 — edge: 8.59. Strong conviction based on usage rate and defensive matchup.,Freddie Freeman,0.41,0.0,
3B  Max Muncy,Los Angeles Dodgers,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.41,9.0,-8.59,UNDER,3B  Max Muncy shows UNDER value at 9.0 RBI. TC projection: 0.4 — edge: 8.59. Strong conviction based on usage rate and defensive matchup.,Max Muncy,0.41,0.0,
1B  Freddie Freeman,Los Angeles Dodgers,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.42,9.0,-8.58,UNDER,Targeting 1B  Freddie Freeman UNDER 9.0 RBI. Model projects 0.4 (8.58 edge). Recent trends and opponent weakness support this play.,Freddie Freeman,0.42,0.0,
SS  Mookie Betts,Los Angeles Dodgers,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.42,9.0,-8.58,UNDER,SS  Mookie Betts shows UNDER value at 9.0 RBI. TC projection: 0.4 — edge: 8.58. Strong conviction based on usage rate and defensive matchup.,Mookie Betts,0.42,0.0,
RF  Kyle Tucker,Los Angeles Dodgers,mlb,BB,Los_Angeles_Dodgers_at_New_York_Mets,0.42,9.0,-8.58,UNDER,RF  Kyle Tucker shows UNDER value at 9.0 BB. TC projection: 0.4 — edge: 8.58. Strong conviction based on usage rate and defensive matchup.,Kyle Tucker,0.42,0.0,
3B  Bo Bichette,New York Mets,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.43,9.0,-8.57,UNDER,Targeting 3B  Bo Bichette UNDER 9.0 R. Model projects 0.4 (8.57 edge). Recent trends and opponent weakness support this play.,Bo Bichette,0.43,0.0,
CF  Tyrone Taylor,New York Mets,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.43,9.0,-8.57,UNDER,"Strong +EV opportunity: CF  Tyrone Taylor is projected for 0.4 H vs a line of 9.0, giving a UNDER edge of 8.57. Based on recent form, opponent matchup, and game context.",Tyrone Taylor,0.43,0.0,
RF  Kyle Tucker,Los Angeles Dodgers,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.43,9.0,-8.57,UNDER,"Strong +EV opportunity: RF  Kyle Tucker is projected for 0.4 RBI vs a line of 9.0, giving a UNDER edge of 8.57. Based on recent form, opponent matchup, and game context.",Kyle Tucker,0.43,0.0,
3B  Bo Bichette,New York Mets,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.43,9.0,-8.57,UNDER,3B  Bo Bichette shows UNDER value at 9.0 RBI. TC projection: 0.4 — edge: 8.57. Strong conviction based on usage rate and defensive matchup.,Bo Bichette,0.43,0.0,
SS  Francisco Lindor,New York Mets,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.44,9.0,-8.56,UNDER,SS  Francisco Lindor shows UNDER value at 9.0 R. TC projection: 0.4 — edge: 8.56. Strong conviction based on usage rate and defensive matchup.,Francisco Lindor,0.44,0.0,
C   Carter Jensen,Kansas City Royals,mlb,RBI,Kansas_City_Royals_at_Detroit_Tigers,0.45,9.0,-8.55,UNDER,C   Carter Jensen shows UNDER value at 9.0 RBI. TC projection: 0.5 — edge: 8.55. Strong conviction based on usage rate and defensive matchup.,Carter Jensen,0.45,0.0,
LF  Teoscar Hernández,Los Angeles Dodgers,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.45,9.0,-8.55,UNDER,"Strong +EV opportunity: LF  Teoscar Hernández is projected for 0.5 RBI vs a line of 9.0, giving a UNDER edge of 8.55. Based on recent form, opponent matchup, and game context.",Teoscar Hernández,0.45,0.0,
RF  Carson Benge,New York Mets,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.45,9.0,-8.55,UNDER,Targeting RF  Carson Benge UNDER 9.0 R. Model projects 0.5 (8.55 edge). Recent trends and opponent weakness support this play.,Carson Benge,0.45,0.0,
1B  Freddie Freeman,Los Angeles Dodgers,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.46,9.0,-8.54,UNDER,Targeting 1B  Freddie Freeman UNDER 9.0 R. Model projects 0.5 (8.54 edge). Recent trends and opponent weakness support this play.,Freddie Freeman,0.46,0.0,
LF  Tommy Edman,Los Angeles Dodgers,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.46,9.0,-8.54,UNDER,Targeting LF  Tommy Edman UNDER 9.0 R. Model projects 0.5 (8.54 edge). Recent trends and opponent weakness support this play.,Tommy Edman,0.46,0.0,
LF  Juan Soto,New York Mets,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.47,9.0,-8.53,UNDER,Targeting LF  Juan Soto UNDER 9.0 R. Model projects 0.5 (8.53 edge). Recent trends and opponent weakness support this play.,Juan Soto,0.47,0.0,
RF  Kyle Tucker,Los Angeles Dodgers,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.47,9.0,-8.53,UNDER,RF  Kyle Tucker shows UNDER value at 9.0 R. TC projection: 0.5 — edge: 8.53. Strong conviction based on usage rate and defensive matchup.,Kyle Tucker,0.47,0.0,
LF  Teoscar Hernández,Los Angeles Dodgers,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.49,9.0,-8.51,UNDER,"Strong +EV opportunity: LF  Teoscar Hernández is projected for 0.5 R vs a line of 9.0, giving a UNDER edge of 8.51. Based on recent form, opponent matchup, and game context.",Teoscar Hernández,0.49,0.0,
CF  Andy Pages,Los Angeles Dodgers,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.49,9.0,-8.51,UNDER,"Strong +EV opportunity: CF  Andy Pages is projected for 0.5 R vs a line of 9.0, giving a UNDER edge of 8.51. Based on recent form, opponent matchup, and game context.",Andy Pages,0.49,0.0,
LF  Tommy Edman,Los Angeles Dodgers,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.49,9.0,-8.51,UNDER,Targeting LF  Tommy Edman UNDER 9.0 RBI. Model projects 0.5 (8.51 edge). Recent trends and opponent weakness support this play.,Tommy Edman,0.49,0.0,
SS  Mookie Betts,Los Angeles Dodgers,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.5,9.0,-8.5,UNDER,Targeting SS  Mookie Betts UNDER 9.0 R. Model projects 0.5 (8.50 edge). Recent trends and opponent weakness support this play.,Mookie Betts,0.5,0.0,
C   Freddy Fermin,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting C   Freddy Fermin UNDER 8.5 3B. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Freddy Fermin,0.0,0.0,
C   Freddy Fermin,San Diego Padres,mlb,SB,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,"Strong +EV opportunity: C   Freddy Fermin is projected for 0.0 SB vs a line of 8.5, giving a UNDER edge of 8.50. Based on recent form, opponent matchup, and game context.",Freddy Fermin,0.0,0.0,
1B  Gavin Sheets,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting 1B  Gavin Sheets UNDER 8.5 3B. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Gavin Sheets,0.0,0.0,
2B  Jake Cronenworth,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting 2B  Jake Cronenworth UNDER 8.5 3B. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Jake Cronenworth,0.0,0.0,
RF  Jase Bowen,San Diego Padres,mlb,HR,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,"Strong +EV opportunity: RF  Jase Bowen is projected for 0.0 HR vs a line of 8.5, giving a UNDER edge of 8.50. Based on recent form, opponent matchup, and game context.",Jase Bowen,0.0,0.0,
RF  Jase Bowen,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting RF  Jase Bowen UNDER 8.5 3B. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Jase Bowen,0.0,0.0,
C   Luis Campusano,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting C   Luis Campusano UNDER 8.5 3B. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Luis Campusano,0.0,0.0,
C   Luis Campusano,San Diego Padres,mlb,SB,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting C   Luis Campusano UNDER 8.5 SB. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Luis Campusano,0.0,0.0,
3B  Luis Rengifo,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,3B  Luis Rengifo shows UNDER value at 8.5 3B. TC projection: 0.0 — edge: 8.50. Strong conviction based on usage rate and defensive matchup.,Luis Rengifo,0.0,0.0,
3B  Manny Machado,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting 3B  Manny Machado UNDER 8.5 3B. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Manny Machado,0.0,0.0,
P   Randy Vásquez,San Diego Padres,mlb,H,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,P   Randy Vásquez shows UNDER value at 8.5 H. TC projection: 0.0 — edge: 8.50. Strong conviction based on usage rate and defensive matchup.,Randy Vásquez,0.0,0.0,
P   Randy Vásquez,San Diego Padres,mlb,R,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,P   Randy Vásquez shows UNDER value at 8.5 R. TC projection: 0.0 — edge: 8.50. Strong conviction based on usage rate and defensive matchup.,Randy Vásquez,0.0,0.0,
P   Randy Vásquez,San Diego Padres,mlb,RBI,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting P   Randy Vásquez UNDER 8.5 RBI. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Randy Vásquez,0.0,0.0,
P   Randy Vásquez,San Diego Padres,mlb,HR,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting P   Randy Vásquez UNDER 8.5 HR. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Randy Vásquez,0.0,0.0,
P   Randy Vásquez,San Diego Padres,mlb,2B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,"Strong +EV opportunity: P   Randy Vásquez is projected for 0.0 2B vs a line of 8.5, giving a UNDER edge of 8.50. Based on recent form, opponent matchup, and game context.",Randy Vásquez,0.0,0.0,
P   Randy Vásquez,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting P   Randy Vásquez UNDER 8.5 3B. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Randy Vásquez,0.0,0.0,
P   Randy Vásquez,San Diego Padres,mlb,BB,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,"Strong +EV opportunity: P   Randy Vásquez is projected for 0.0 BB vs a line of 8.5, giving a UNDER edge of 8.50. Based on recent form, opponent matchup, and game context.",Randy Vásquez,0.0,0.0,
P   Randy Vásquez,San Diego Padres,mlb,SB,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,"Strong +EV opportunity: P   Randy Vásquez is projected for 0.0 SB vs a line of 8.5, giving a UNDER edge of 8.50. Based on recent form, opponent matchup, and game context.",Randy Vásquez,0.0,0.0,
C   Rodolfo Durán,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,"Strong +EV opportunity: C   Rodolfo Durán is projected for 0.0 3B vs a line of 8.5, giving a UNDER edge of 8.50. Based on recent form, opponent matchup, and game context.",Rodolfo Durán,0.0,0.0,
C   Rodolfo Durán,San Diego Padres,mlb,SB,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,C   Rodolfo Durán shows UNDER value at 8.5 SB. TC projection: 0.0 — edge: 8.50. Strong conviction based on usage rate and defensive matchup.,Rodolfo Durán,0.0,0.0,
2B  Sung-Mun Song,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,"Strong +EV opportunity: 2B  Sung-Mun Song is projected for 0.0 3B vs a line of 8.5, giving a UNDER edge of 8.50. Based on recent form, opponent matchup, and game context.",Sung-Mun Song,0.0,0.0,
P   Wandy Peralta,San Diego Padres,mlb,H,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,"Strong +EV opportunity: P   Wandy Peralta is projected for 0.0 H vs a line of 8.5, giving a UNDER edge of 8.50. Based on recent form, opponent matchup, and game context.",Wandy Peralta,0.0,0.0,
P   Wandy Peralta,San Diego Padres,mlb,R,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting P   Wandy Peralta UNDER 8.5 R. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Wandy Peralta,0.0,0.0,
P   Wandy Peralta,San Diego Padres,mlb,RBI,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,P   Wandy Peralta shows UNDER value at 8.5 RBI. TC projection: 0.0 — edge: 8.50. Strong conviction based on usage rate and defensive matchup.,Wandy Peralta,0.0,0.0,
P   Wandy Peralta,San Diego Padres,mlb,HR,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting P   Wandy Peralta UNDER 8.5 HR. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Wandy Peralta,0.0,0.0,
P   Wandy Peralta,San Diego Padres,mlb,2B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting P   Wandy Peralta UNDER 8.5 2B. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Wandy Peralta,0.0,0.0,
P   Wandy Peralta,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,P   Wandy Peralta shows UNDER value at 8.5 3B. TC projection: 0.0 — edge: 8.50. Strong conviction based on usage rate and defensive matchup.,Wandy Peralta,0.0,0.0,
P   Wandy Peralta,San Diego Padres,mlb,BB,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,P   Wandy Peralta shows UNDER value at 8.5 BB. TC projection: 0.0 — edge: 8.50. Strong conviction based on usage rate and defensive matchup.,Wandy Peralta,0.0,0.0,
P   Wandy Peralta,San Diego Padres,mlb,SB,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,Targeting P   Wandy Peralta UNDER 8.5 SB. Model projects 0.0 (8.50 edge). Recent trends and opponent weakness support this play.,Wandy Peralta,0.0,0.0,
SS  Xander Bogaerts,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.0,8.5,-8.5,UNDER,"Strong +EV opportunity: SS  Xander Bogaerts is projected for 0.0 3B vs a line of 8.5, giving a UNDER edge of 8.50. Based on recent form, opponent matchup, and game context.",Xander Bogaerts,0.0,0.0,
TWP Shohei Ohtani,Los Angeles Dodgers,mlb,RBI,Los_Angeles_Dodgers_at_New_York_Mets,0.51,9.0,-8.49,UNDER,"Strong +EV opportunity: TWP Shohei Ohtani is projected for 0.5 RBI vs a line of 9.0, giving a UNDER edge of 8.49. Based on recent form, opponent matchup, and game context.",TWP Shohei Ohtani,0.51,0.0,
3B  Max Muncy,Los Angeles Dodgers,mlb,R,Los_Angeles_Dodgers_at_New_York_Mets,0.51,9.0,-8.49,UNDER,"Strong +EV opportunity: 3B  Max Muncy is projected for 0.5 R vs a line of 9.0, giving a UNDER edge of 8.49. Based on recent form, opponent matchup, and game context.",Max Muncy,0.51,0.0,
2B  Miguel Rojas,Los Angeles Dodgers,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.51,9.0,-8.49,UNDER,"Strong +EV opportunity: 2B  Miguel Rojas is projected for 0.5 H vs a line of 9.0, giving a UNDER edge of 8.49. Based on recent form, opponent matchup, and game context.",Miguel Rojas,0.51,0.0,
CF  Jackson Merrill,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.01,8.5,-8.49,UNDER,Targeting CF  Jackson Merrill UNDER 8.5 3B. Model projects 0.0 (8.49 edge). Recent trends and opponent weakness support this play.,Jackson Merrill,0.01,0.0,
1B  Ty France,San Diego Padres,mlb,SB,San_Diego_Padres_at_Miami_Marlins,0.01,8.5,-8.49,UNDER,"Strong +EV opportunity: 1B  Ty France is projected for 0.0 SB vs a line of 8.5, giving a UNDER edge of 8.49. Based on recent form, opponent matchup, and game context.",Ty France,0.01,0.0,
TWP Shohei Ohtani,Los Angeles Dodgers,mlb,BB,Los_Angeles_Dodgers_at_New_York_Mets,0.52,9.0,-8.48,UNDER,"Strong +EV opportunity: TWP Shohei Ohtani is projected for 0.5 BB vs a line of 9.0, giving a UNDER edge of 8.48. Based on recent form, opponent matchup, and game context.",TWP Shohei Ohtani,0.52,0.0,
RF  Fernando Tatis Jr.,San Diego Padres,mlb,3B,San_Diego_Padres_at_Miami_Marlins,0.02,8.5,-8.48,UNDER,"Strong +EV opportunity: RF  Fernando Tatis Jr. is projected for 0.0 3B vs a line of 8.5, giving a UNDER edge of 8.48. Based on recent form, opponent matchup, and game context.",Fernando Tatis Jr.,0.02,0.0,
