name,team,sport,stat,matchup,projection,line,edge,direction,reason,clean_name,augmented_projection,projection_delta,actual
3B  Curtis Mead,Washington Nationals,mlb,HR,Arizona_Diamondbacks_at_Washington_Nationals,0.17,10.0,-9.83,UNDER,3B  Curtis Mead shows UNDER value at 10.0 HR. TC projection: 0.2 — edge: 9.83. Strong conviction based on usage rate and defensive matchup.,Curtis Mead,0.17,0.0,
DH  José Tena,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.17,10.0,-9.83,UNDER,"Strong +EV opportunity: DH  José Tena is projected for 0.2 BB vs a line of 10.0, giving a UNDER edge of 9.83. Based on recent form, opponent matchup, and game context.",José Tena,0.17,0.0,
3B  Curtis Mead,Washington Nationals,mlb,2B,Arizona_Diamondbacks_at_Washington_Nationals,0.17,10.0,-9.83,UNDER,Targeting 3B  Curtis Mead UNDER 10.0 2B. Model projects 0.2 (9.83 edge). Recent trends and opponent weakness support this play.,Curtis Mead,0.17,0.0,
LF  Daylen Lile,Washington Nationals,mlb,2B,Arizona_Diamondbacks_at_Washington_Nationals,0.19,10.0,-9.81,UNDER,LF  Daylen Lile shows UNDER value at 10.0 2B. TC projection: 0.2 — edge: 9.81. Strong conviction based on usage rate and defensive matchup.,Daylen Lile,0.19,0.0,
1B  Luis García Jr.,Washington Nationals,mlb,HR,Arizona_Diamondbacks_at_Washington_Nationals,0.19,10.0,-9.81,UNDER,Targeting 1B  Luis García Jr. UNDER 10.0 HR. Model projects 0.2 (9.81 edge). Recent trends and opponent weakness support this play.,Luis García Jr.,0.19,0.0,
RF  James Wood,Washington Nationals,mlb,2B,Arizona_Diamondbacks_at_Washington_Nationals,0.21,10.0,-9.79,UNDER,Targeting RF  James Wood UNDER 10.0 2B. Model projects 0.2 (9.79 edge). Recent trends and opponent weakness support this play.,James Wood,0.21,0.0,
3B  Jorbit Vivas,Washington Nationals,mlb,RBI,Arizona_Diamondbacks_at_Washington_Nationals,0.21,10.0,-9.79,UNDER,"Strong +EV opportunity: 3B  Jorbit Vivas is projected for 0.2 RBI vs a line of 10.0, giving a UNDER edge of 9.79. Based on recent form, opponent matchup, and game context.",Jorbit Vivas,0.21,0.0,
SS  CJ Abrams,Washington Nationals,mlb,HR,Arizona_Diamondbacks_at_Washington_Nationals,0.21,10.0,-9.79,UNDER,Targeting SS  CJ Abrams UNDER 10.0 HR. Model projects 0.2 (9.79 edge). Recent trends and opponent weakness support this play.,CJ Abrams,0.21,0.0,
LF  Daylen Lile,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.22,10.0,-9.78,UNDER,Targeting LF  Daylen Lile UNDER 10.0 BB. Model projects 0.2 (9.78 edge). Recent trends and opponent weakness support this play.,Daylen Lile,0.22,0.0,
RF  Dylan Crews,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.23,10.0,-9.77,UNDER,Targeting RF  Dylan Crews UNDER 10.0 BB. Model projects 0.2 (9.77 edge). Recent trends and opponent weakness support this play.,Dylan Crews,0.23,0.0,
