date,matchup,team,name,stat,raw_avg,tc_proj,actual,diff,result,minutes,source
2026-06-22,TOR@ATL,ATL,Angel Reese,PTS,14.3,8.9,11,2.1,HIT,29,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Angel Reese,REB,12.7,6.3,9,2.7,HIT,29,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Angel Reese,STL,1.4,0.8,0,-0.8,MISS,29,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Allisha Gray,PTS,14.1,8.9,18,9.1,HIT,33,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Allisha Gray,REB,4.4,3,1,-2,MISS,33,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Allisha Gray,3PM,1.4,0.9,1,0.1,HIT,33,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Allisha Gray,STL,1.2,0.7,5,4.3,HIT,33,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Jordin Canada,3PM,0.5,0.5,1,0.5,HIT,29,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Jordin Canada,STL,1.6,0.9,2,1.1,HIT,29,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Naz Hillmon,REB,4.9,3.2,3,-0.2,MISS,23,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Naz Hillmon,3PM,0.4,0.5,0,-0.5,MISS,23,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Amy Okonkwo,PTS,11,7.6,0.0,-7.6,MISS,0,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Amy Okonkwo,AST,0.8,1.1,0.0,-1.1,MISS,0,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Amy Okonkwo,3PM,1.3,0.9,0.0,-0.9,MISS,0,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Amy Okonkwo,STL,1.4,0.8,0.0,-0.8,MISS,0,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Te-Hina Paopao,PTS,5.7,5.5,2,-3.5,MISS,14,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Te-Hina Paopao,3PM,1.2,0.8,0,-0.8,MISS,14,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Isobel Borlase,AST,0.7,1,2,1,HIT,20,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Isobel Borlase,3PM,0.4,0.5,2,1.5,HIT,20,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Sika Kone,REB,1.8,2,0,-2,MISS,1,daily_pipeline_fallback
